Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Tijuca;2;1;1;80;3000.0;750.0;139.0;37.5;Apartamento
Apartamento;Tijuca;2;1;1;78;2300.0;560.0;82.0;29.49;Apartamento
Apartamento;Tijuca;3;2;1;140;3500.0;774.0;0.0;25.0;Apartamento
Apartamento;Tijuca;2;1;1;70;1600.0;800.0;0.0;22.86;Apartamento
Apartamento;Tijuca;3;1;1;125;2500.0;1100.0;200.0;20.0;Apartamento
Apartamento;Tijuca;2;0;0;83;1800.0;556.0;81.0;21.69;Apartamento
Apartamento;Tijuca;2;1;1;100;2200.0;890.0;0.0;22.0;Apartamento
Apartamento;Tijuca;3;1;0;93;3500.0;800.0;0.0;37.63;Apartamento
Apartamento;Tijuca;3;0;0;85;1900.0;700.0;75.0;22.35;Apartamento
Apartamento;Tijuca;2;0;0;67;1300.0;420.0;0.0;19.4;Apartamento
Apartamento;Tijuca;2;1;0;81;1550.0;600.0;87.0;19.14;Apartamento
Apartamento;Tijuca;2;1;0;69;2000.0;502.0;0.0;28.99;Apartamento
Apartamento;Tijuca;2;1;0;88;1200.0;640.0;0.0;13.64;Apartamento
Apartamento;Tijuca;3;1;0;94;2000.0;696.0;95.0;21.28;Apartamento
Apartamento;Tijuca;2;0;0;80;1400.0;850.0;0.0;17.5;Apartamento
Apartamento;Tijuca;1;0;0;46;1300.0;600.0;48.0;28.26;Apartamento
Apartamento;Tijuca;3;1;1;86;2650.0;720.0;160.0;30.81;Apartamento
Apartamento;Tijuca;2;0;0;61;1600.0;600.0;0.0;26.23;Apartamento
Apartamento;Tijuca;2;2;0;54;1900.0;910.0;50.0;35.19;Apartamento
Apartamento;Tijuca;3;1;0;70;2100.0;600.0;0.0;30.0;Apartamento
Apartamento;Tijuca;3;2;1;97;2300.0;870.0;0.0;23.71;Apartamento
Apartamento;Tijuca;3;1;0;150;1600.0;650.0;90.0;10.67;Apartamento
Apartamento;Tijuca;3;0;0;90;1999.0;600.0;0.0;22.21;Apartamento
Apartamento;Tijuca;3;1;1;140;2800.0;1260.0;0.0;20.0;Apartamento
Apartamento;Tijuca;2;0;0;73;1800.0;550.0;0.0;24.66;Apartamento
Apartamento;Tijuca;2;1;0;91;1700.0;660.0;143.0;18.68;Apartamento
Apartamento;Tijuca;3;2;1;130;3000.0;1300.0;205.0;23.08;Apartamento
Apartamento;Tijuca;3;0;0;95;1600.0;797.0;0.0;16.84;Apartamento
Apartamento;Tijuca;3;1;0;100;2000.0;1000.0;98.0;20.0;Apartamento
Apartamento;Tijuca;2;0;0;48;1300.0;446.0;0.0;27.08;Apartamento
Apartamento;Tijuca;3;1;2;140;2900.0;220.0;182.0;20.71;Apartamento
Apartamento;Tijuca;3;1;1;174;3250.0;1350.0;278.0;18.68;Apartamento
Apartamento;Tijuca;2;0;0;62;1500.0;576.0;62.0;24.19;Apartamento
